Variable Importance Shift Between Best Iteration Model and Final Model
+----+-----------------------+--------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Shift of Relative Importance | Feature                  | Description                                                                                                                                     |
|----+-----------------------+--------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |              1        |                     0          | 3_TEXTCNN_TE:tweet.1     | Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  1 |              0.87514  |                     0.11653    | 2_Txt:tweet.3            | Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
|  2 |              0.859207 |                     0.354516   | 3_TEXTCNN_TE:tweet.2     | Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  3 |              0.6589   |                     0.0238708  | 2_Txt:tweet.4            | Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
|  4 |              0.642154 |                     0.161992   | 3_TEXTCNN_TE:tweet.0     | Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  5 |              0.49929  |                     0.135857   | 2_Txt:tweet.20           | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
|  6 |              0.496088 |                     0.0667574  | 2_Txt:tweet.5            | Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
|  7 |              0.489821 |                     0.0984435  | 2_Txt:tweet.0            | Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
|  8 |              0.48648  |                     0.0913938  | 2_Txt:tweet.42           | Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
|  9 |              0.479844 |                     0.182585   | 2_Txt:tweet.14           | Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 10 |              0.461226 |                     0.122852   | 2_Txt:tweet.19           | Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 11 |              0.458231 |                     0.166223   | 2_Txt:tweet.28           | Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 12 |              0.445483 |                     0.0825156  | 2_Txt:tweet.39           | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 13 |              0.442531 |                     0.0992946  | 2_Txt:tweet.6            | Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
| 14 |              0.431634 |                     0.120122   | 2_Txt:tweet.33           | Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 15 |              0.430184 |                     0.106815   | 2_Txt:tweet.31           | Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 16 |              0.42891  |                     0.1318     | 2_Txt:tweet.44           | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 17 |              0.423628 |                     0.120036   | 2_Txt:tweet.7            | Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
| 18 |              0.420995 |                     0.103535   | 2_Txt:tweet.16           | Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 19 |              0.420797 |                     0.0451027  | 2_Txt:tweet.8            | Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
| 20 |              0.418847 |                     0.132873   | 2_Txt:tweet.35           | Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 21 |              0.415701 |                     0.144816   | 2_Txt:tweet.25           | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 22 |              0.415062 |                     0.169565   | 2_Txt:tweet.47           | Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 23 |              0.407924 |                     0.110614   | 2_Txt:tweet.11           | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 24 |              0.405583 |                     0.11872    | 2_Txt:tweet.2            | Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
| 25 |              0.405318 |                     0.131295   | 2_Txt:tweet.37           | Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 26 |              0.404236 |                     0.0975109  | 2_Txt:tweet.32           | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 27 |              0.401745 |                     0.0671899  | 2_Txt:tweet.18           | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 28 |              0.401214 |                     0.116643   | 2_Txt:tweet.40           | Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 29 |              0.399609 |                     0.136723   | 2_Txt:tweet.22           | Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 30 |              0.397199 |                     0.108145   | 2_Txt:tweet.45           | Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 31 |              0.396889 |                     0.0571283  | 2_Txt:tweet.1            | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]          |
| 32 |              0.396527 |                     0.0493312  | 2_Txt:tweet.21           | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
