Relative Importance,Shift of Relative Importance,Description,Feature
1,0,"Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.1
0.8751399,0.1165303,"Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.3
0.8592066,0.3545164,"Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.2
0.6589004,0.02387083,"Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.4
0.6421539,0.1619916,"Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.0
0.4992902,0.1358569,"Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.20
0.4960879,0.06675735,"Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.5
0.4898206,0.09844351,"Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.0
0.4864803,0.09139383,"Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.42
0.479844,0.182585,"Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.14
0.4612264,0.1228517,"Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.19
0.4582308,0.1662232,"Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.28
0.4454832,0.0825156,"Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.39
0.4425308,0.09929457,"Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.6
0.4316337,0.1201218,"Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.33
0.4301836,0.1068154,"Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.31
0.4289102,0.1318004,"Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.44
0.4236284,0.1200363,"Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.7
0.4209947,0.1035353,"Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.16
0.4207968,0.04510269,"Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.8
0.4188471,0.1328731,"Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.35
0.4157014,0.1448155,"Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.25
0.4150617,0.1695648,"Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.47
0.4079242,0.1106141,"Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.11
0.4055829,0.1187202,"Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.2
0.4053176,0.1312948,"Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.37
0.4042358,0.0975109,"Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.32
0.4017449,0.0671899,"Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.18
0.4012142,0.116643,"Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.40
0.3996093,0.1367226,"Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.22
0.3971993,0.1081447,"Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.45
0.3968886,0.05712828,"Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.1
0.3965273,0.04933122,"Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.21
0.3934473,0.09193462,"Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.49
0.3892266,0.04877132,"Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.23
0.3873908,0.05141395,"Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.29
0.3841514,0.08864337,"Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.34
0.3839261,0.03455389,"Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.17
0.3825246,0.1035855,"Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.1
0.3800009,0.08310184,"Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.46
0.3757697,0.05750588,"Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.10
0.3750045,0.1080596,"Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.38
0.3742632,0.05403006,"Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.9
0.3726952,0.08833805,"Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.41
0.370848,0.08767617,"Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.27
0.3640309,0.08742103,"Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.13
0.3628349,0.09384272,"Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.0
0.3522364,0.051817,"Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.48
0.3520668,0.0949603,"Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.30
0.3475928,0.07944986,"Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.15
0.3464526,0.0501872,"Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.12
0.341191,0.07448313,"Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.26
0.3404652,0.08342329,"Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.24
0.3400459,0.07802972,"Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.43
0.3393089,0.01819888,"Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.36
0.3135171,0.03380126,"Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.2
0.1426686,0.0437988,"Out-of-fold mean of the response (class 0) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.0
0.1043508,0.008481763,"Out-of-fold mean of the response (class 1) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.1
0.102072,0.02740653,"Out-of-fold mean of the response (class 2) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.2
