FS Varimp (i.e. delta score)
+----+---------------------------+------------+--------------+
|    | fi                        |   fi_depth |         gain |
|----+---------------------------+------------+--------------|
|  0 | 13_TEXTCNN_TE:tweet.0     |          0 | -0.0795892   |
|  1 | 13_TEXTCNN_TE:tweet.1     |          0 | -0.0499861   |
|  2 | 14_Txt:tweet.7            |          0 | -0.0266955   |
|  3 | 14_Txt:tweet.12           |          0 | -0.0155      |
|  4 | 14_Txt:tweet.15           |          0 | -0.0138025   |
|  5 | 14_Txt:tweet.20           |          0 | -0.0134889   |
|  6 | 14_Txt:tweet.13           |          0 | -0.00985849  |
|  7 | 14_Txt:tweet.43           |          0 | -0.00851461  |
|  8 | 15_TEXTCHARCNN_TE:tweet.0 |          0 | -0.0076635   |
|  9 | 14_Txt:tweet.18           |          0 | -0.00635822  |
| 10 | 14_Txt:tweet.34           |          0 | -0.00620122  |
| 11 | 14_Txt:tweet.21           |          0 | -0.00614397  |
| 12 | 14_Txt:tweet.29           |          0 | -0.00598038  |
| 13 | 14_Txt:tweet.35           |          0 | -0.00592162  |
| 14 | 14_Txt:tweet.47           |          0 | -0.00574315  |
| 15 | 14_Txt:tweet.17           |          0 | -0.00543515  |
| 16 | 14_Txt:tweet.45           |          0 | -0.00528322  |
| 17 | 14_Txt:tweet.28           |          0 | -0.00522234  |
| 18 | 14_Txt:tweet.5            |          0 | -0.0046363   |
| 19 | 14_Txt:tweet.0            |          0 | -0.00391012  |
| 20 | 14_Txt:tweet.4            |          0 | -0.00350016  |
| 21 | 14_Txt:tweet.25           |          0 | -0.00339848  |
| 22 | 14_Txt:tweet.48           |          0 | -0.00316486  |
| 23 | 14_Txt:tweet.36           |          0 | -0.00291597  |
| 24 | 15_TEXTCHARCNN_TE:tweet.2 |          0 | -0.00263834  |
| 25 | 14_Txt:tweet.31           |          0 | -0.00257247  |
| 26 | 14_Txt:tweet.22           |          0 | -0.00231697  |
| 27 | 14_Txt:tweet.39           |          0 | -0.00192302  |
| 28 | 14_Txt:tweet.9            |          0 | -0.00151815  |
| 29 | 17_CVTE:tweet.2           |          0 | -0.0013363   |
| 30 | 14_Txt:tweet.23           |          0 | -0.000898563 |
| 31 | 14_Txt:tweet.24           |          0 | -0.000780871 |
| 32 | 14_Txt:tweet.32           |          0 | -0.000314657 |
| 33 | 14_Txt:tweet.10           |          0 |  4.40323e-05 |
| 34 | 14_Txt:tweet.41           |          0 |  0.000125886 |
| 35 | 14_Txt:tweet.33           |          0 |  0.000228912 |
| 36 | 8_CVTE:tweet.0            |          0 |  0.000567212 |
| 37 | 14_Txt:tweet.14           |          0 |  0.00104292  |
| 38 | 8_CVTE:tweet.2            |          0 |  0.00172189  |
| 39 | 14_Txt:tweet.37           |          0 |  0.00184836  |
| 40 | 14_Txt:tweet.8            |          0 |  0.00189191  |
| 41 | 14_Txt:tweet.1            |          0 |  0.00192222  |
| 42 | 13_TEXTCNN_TE:tweet.2     |          0 |  0.00226771  |
| 43 | 14_Txt:tweet.6            |          0 |  0.00234748  |
| 44 | 14_Txt:tweet.16           |          0 |  0.00236555  |
| 45 | 14_Txt:tweet.40           |          0 |  0.00404535  |
| 46 | 14_Txt:tweet.46           |          0 |  0.00414527  |
| 47 | 14_Txt:tweet.26           |          0 |  0.00443063  |
| 48 | 14_Txt:tweet.44           |          0 |  0.00503813  |
| 49 | 14_Txt:tweet.49           |          0 |  0.00517947  |
| 50 | 14_Txt:tweet.42           |          0 |  0.00565855  |
| 51 | 8_CVTE:tweet.1            |          0 |  0.00614767  |
| 52 | 17_CVTE:tweet.1           |          0 |  0.00622166  |
| 53 | 14_Txt:tweet.11           |          0 |  0.00625264  |
| 54 | 14_Txt:tweet.38           |          0 |  0.00662806  |
| 55 | 17_CVTE:tweet.0           |          0 |  0.00697355  |
| 56 | 14_Txt:tweet.30           |          0 |  0.00719893  |
| 57 | 14_Txt:tweet.2            |          0 |  0.00728008  |
| 58 | 14_Txt:tweet.3            |          0 |  0.00832071  |
| 59 | 14_Txt:tweet.19           |          0 |  0.0083262   |
| 60 | 15_TEXTCHARCNN_TE:tweet.1 |          0 |  0.00879961  |
| 61 | 14_Txt:tweet.27           |          0 |  0.00914496  |
+----+---------------------------+------------+--------------+
