Variable Importance
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                | Description                                                                                                                                   |
|----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |             1         |                                  0          | 10_TEXTCNN_TE:tweet.1  | Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  1 |             0.659211  |                                  0.267873   | 9_TEXTBIGRU_TE:tweet.1 | Predicted probabilities of class #2 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
|  2 |             0.574032  |                                  0.132713   | 10_TEXTCNN_TE:tweet.0  | Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  3 |             0.563649  |                                  0.106465   | 1_Txt:tweet.4          | Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
|  4 |             0.476989  |                                  0.0821932  | 10_TEXTCNN_TE:tweet.2  | Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  5 |             0.441202  |                                  0.155637   | 1_Txt:tweet.3          | Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
|  6 |             0.409728  |                                  0.0351118  | 1_Txt:tweet.5          | Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
|  7 |             0.358799  |                                  0.406682   | 1_Txt:tweet.40         | Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
|  8 |             0.351866  |                                  0.169838   | 1_Txt:tweet.14         | Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
|  9 |             0.313103  |                                  0.0829391  | 9_TEXTBIGRU_TE:tweet.2 | Predicted probabilities of class #3 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 10 |             0.301981  |                                  0.149158   | 9_TEXTBIGRU_TE:tweet.0 | Predicted probabilities of class #1 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 11 |             0.290176  |                                  0.183176   | 1_Txt:tweet.6          | Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 12 |             0.277728  |                                  0.0244732  | 1_Txt:tweet.24         | Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 13 |             0.260048  |                                  0.153942   | 1_Txt:tweet.28         | Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 14 |             0.253588  |                                  0.108336   | 1_Txt:tweet.16         | Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 15 |             0.246253  |                                  0.205116   | 1_Txt:tweet.19         | Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 16 |             0.241405  |                                  0.0466068  | 1_Txt:tweet.12         | Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 17 |             0.240591  |                                  0.103651   | 1_Txt:tweet.31         | Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 18 |             0.238144  |                                  0.081564   | 1_Txt:tweet.8          | Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 19 |             0.234483  |                                  0.137481   | 1_Txt:tweet.0          | Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 20 |             0.233089  |                                  0.0981674  | 1_Txt:tweet.33         | Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 21 |             0.232228  |                                  0.111301   | 1_Txt:tweet.27         | Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 22 |             0.229475  |                                  0.106815   | 1_Txt:tweet.45         | Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 23 |             0.229327  |                                  0.0802859  | 1_Txt:tweet.2          | Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 24 |             0.229112  |                                  0.170143   | 1_Txt:tweet.29         | Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 25 |             0.222614  |                                  0.160042   | 1_Txt:tweet.7          | Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 26 |             0.215749  |                                  0.0850791  | 1_Txt:tweet.42         | Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 27 |             0.211994  |                                  0.100682   | 1_Txt:tweet.22         | Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 28 |             0.209515  |                                  0.0974729  | 1_Txt:tweet.37         | Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 29 |             0.207468  |                                  0.117775   | 1_Txt:tweet.1          | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]        |
| 30 |             0.199283  |                                  0.043087   | 1_Txt:tweet.38         | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 31 |             0.199049  |                                  0.106261   | 1_Txt:tweet.17         | Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 32 |             0.197984  |                                  0.0475143  | 1_Txt:tweet.23         | Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 33 |             0.196147  |                                  0.0999017  | 1_Txt:tweet.47         | Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 34 |             0.191003  |                                  0.107484   | 1_Txt:tweet.13         | Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
