Variable Importance Before Final Re-fit (but accounting for meta weights) -- Used for Shift
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                | Description                                                                                                                                   |
|----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |              1        |                                           0 | 10_TEXTCNN_TE:tweet.1  | Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  1 |              0.607796 |                                           0 | 10_TEXTCNN_TE:tweet.0  | Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  2 |              0.591092 |                                           0 | 10_TEXTCNN_TE:tweet.2  | Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs   |
|  3 |              0.497843 |                                           0 | 1_Txt:tweet.4          | Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
|  4 |              0.450532 |                                           0 | 9_TEXTBIGRU_TE:tweet.1 | Predicted probabilities of class #2 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
|  5 |              0.383792 |                                           0 | 1_Txt:tweet.5          | Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
|  6 |              0.363432 |                                           0 | 1_Txt:tweet.3          | Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
|  7 |              0.296236 |                                           0 | 1_Txt:tweet.14         | Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
|  8 |              0.263649 |                                           0 | 1_Txt:tweet.22         | Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
|  9 |              0.259688 |                                           0 | 1_Txt:tweet.0          | Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 10 |              0.257341 |                                           0 | 1_Txt:tweet.16         | Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 11 |              0.250755 |                                           0 | 1_Txt:tweet.12         | Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 12 |              0.248591 |                                           0 | 1_Txt:tweet.2          | Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 13 |              0.239089 |                                           0 | 1_Txt:tweet.40         | Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 14 |              0.219345 |                                           0 | 1_Txt:tweet.41         | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 15 |              0.213291 |                                           0 | 9_TEXTBIGRU_TE:tweet.0 | Predicted probabilities of class #1 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 16 |              0.212581 |                                           0 | 1_Txt:tweet.24         | Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 17 |              0.208268 |                                           0 | 1_Txt:tweet.37         | Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 18 |              0.207252 |                                           0 | 1_Txt:tweet.28         | Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 19 |              0.200598 |                                           0 | 1_Txt:tweet.23         | Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 20 |              0.199244 |                                           0 | 1_Txt:tweet.13         | Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 21 |              0.197778 |                                           0 | 1_Txt:tweet.29         | Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 22 |              0.197484 |                                           0 | 1_Txt:tweet.6          | Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 23 |              0.194267 |                                           0 | 1_Txt:tweet.20         | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 24 |              0.191611 |                                           0 | 1_Txt:tweet.27         | Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 25 |              0.190834 |                                           0 | 1_Txt:tweet.7          | Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 26 |              0.187751 |                                           0 | 1_Txt:tweet.31         | Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 27 |              0.186401 |                                           0 | 1_Txt:tweet.8          | Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 28 |              0.182666 |                                           0 | 1_Txt:tweet.11         | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 29 |              0.181127 |                                           0 | 9_TEXTBIGRU_TE:tweet.2 | Predicted probabilities of class #3 based on TEXTBIGRU model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 30 |              0.180201 |                                           0 | 1_Txt:tweet.33         | Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 31 |              0.179403 |                                           0 | 1_Txt:tweet.19         | Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 32 |              0.176943 |                                           0 | 1_Txt:tweet.25         | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 33 |              0.173743 |                                           0 | 1_Txt:tweet.26         | Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 34 |              0.172445 |                                           0 | 1_Txt:tweet.35         | Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 35 |              0.164988 |                                           0 | 1_Txt:tweet.46         | Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 36 |              0.164744 |                                           0 | 1_Txt:tweet.34         | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 37 |              0.163532 |                                           0 | 1_Txt:tweet.15         | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 38 |              0.162195 |                                           0 | 1_Txt:tweet.36         | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 39 |              0.16136  |                                           0 | 1_Txt:tweet.42         | Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
