FS Varimp (i.e. delta score)
+----+------------------------+------------+--------------+
|    | fi                     |   fi_depth |         gain |
|----+------------------------+------------+--------------|
|  0 | 8_Txt:tweet.20         |          0 | -0.0501654   |
|  1 | 9_TEXTBIGRU_TE:tweet.1 |          0 | -0.0396854   |
|  2 | 8_Txt:tweet.5          |          0 | -0.0323324   |
|  3 | 9_TEXTBIGRU_TE:tweet.2 |          0 | -0.0204105   |
|  4 | 8_Txt:tweet.30         |          0 | -0.0203814   |
|  5 | 8_Txt:tweet.0          |          0 | -0.0155835   |
|  6 | 8_Txt:tweet.18         |          0 | -0.0149362   |
|  7 | 8_Txt:tweet.9          |          0 | -0.0129576   |
|  8 | 8_Txt:tweet.45         |          0 | -0.0127182   |
|  9 | 8_Txt:tweet.28         |          0 | -0.0121682   |
| 10 | 9_TEXTBIGRU_TE:tweet.0 |          0 | -0.010267    |
| 11 | 8_Txt:tweet.31         |          0 | -0.00984141  |
| 12 | 8_Txt:tweet.25         |          0 | -0.00794545  |
| 13 | 8_Txt:tweet.21         |          0 | -0.00731235  |
| 14 | 8_Txt:tweet.37         |          0 | -0.00709714  |
| 15 | 8_Txt:tweet.15         |          0 | -0.00691913  |
| 16 | 8_Txt:tweet.40         |          0 | -0.00669165  |
| 17 | 8_Txt:tweet.29         |          0 | -0.00603273  |
| 18 | 8_Txt:tweet.23         |          0 | -0.00576194  |
| 19 | 11_CVTE:tweet.1        |          0 | -0.00532311  |
| 20 | 8_Txt:tweet.4          |          0 | -0.00522125  |
| 21 | 8_Txt:tweet.32         |          0 | -0.00482258  |
| 22 | 8_Txt:tweet.11         |          0 | -0.00421697  |
| 23 | 11_CVTE:tweet.2        |          0 | -0.00418937  |
| 24 | 8_Txt:tweet.34         |          0 | -0.00409816  |
| 25 | 7_TEXTCNN_TE:tweet.0   |          0 | -0.00389206  |
| 26 | 8_Txt:tweet.27         |          0 | -0.00274402  |
| 27 | 8_Txt:tweet.46         |          0 | -0.0021745   |
| 28 | 7_TEXTCNN_TE:tweet.2   |          0 | -0.00215327  |
| 29 | 8_Txt:tweet.22         |          0 | -0.00163329  |
| 30 | 8_Txt:tweet.6          |          0 | -0.000864306 |
| 31 | 8_Txt:tweet.36         |          0 |  1.82414e-05 |
| 32 | 8_Txt:tweet.17         |          0 |  0.000281853 |
| 33 | 8_Txt:tweet.35         |          0 |  0.000674037 |
| 34 | 8_Txt:tweet.19         |          0 |  0.000800868 |
| 35 | 8_Txt:tweet.10         |          0 |  0.00093792  |
| 36 | 8_Txt:tweet.12         |          0 |  0.00151001  |
| 37 | 8_Txt:tweet.26         |          0 |  0.00190037  |
| 38 | 8_Txt:tweet.24         |          0 |  0.00251566  |
| 39 | 8_Txt:tweet.33         |          0 |  0.00312936  |
| 40 | 8_Txt:tweet.43         |          0 |  0.00346523  |
| 41 | 11_CVTE:tweet.0        |          0 |  0.0035009   |
| 42 | 8_Txt:tweet.13         |          0 |  0.00352502  |
| 43 | 8_Txt:tweet.49         |          0 |  0.00377781  |
| 44 | 8_Txt:tweet.2          |          0 |  0.00418808  |
| 45 | 8_Txt:tweet.39         |          0 |  0.00446839  |
| 46 | 8_Txt:tweet.44         |          0 |  0.00532918  |
| 47 | 7_TEXTCNN_TE:tweet.1   |          0 |  0.00589872  |
| 48 | 8_Txt:tweet.42         |          0 |  0.0063991   |
| 49 | 8_Txt:tweet.3          |          0 |  0.00684065  |
| 50 | 8_Txt:tweet.41         |          0 |  0.00698794  |
| 51 | 8_Txt:tweet.48         |          0 |  0.00702554  |
| 52 | 8_Txt:tweet.47         |          0 |  0.00845301  |
| 53 | 8_Txt:tweet.8          |          0 |  0.009336    |
| 54 | 8_Txt:tweet.7          |          0 |  0.00963289  |
| 55 | 8_Txt:tweet.14         |          0 |  0.0101543   |
| 56 | 8_Txt:tweet.1          |          0 |  0.0103431   |
| 57 | 8_Txt:tweet.38         |          0 |  0.0118517   |
| 58 | 8_Txt:tweet.16         |          0 |  0.016454    |
+----+------------------------+------------+--------------+
