Model and feature tuning leaderboard (scorer=LOGLOSS):
+-------------+--------------+------------+--------------+-----------------+------------+--------------+---------------+-----------------+--------------+--------------------+-----------------+----------------+-----------+---------+-------------------------+----------------------------+--------------------------------+------------------+----------+---------------+---------+----------+---------------+--------------------+------+------+-----------------+-----------------+-------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+--------------------+--------------------------------------------------------------+----------------------------+----------------+----------+----------+------------------+-------------+---------------+----------------+------------+----------------+------------+----------------+----------------+-------------+--------------+--------------------+----------------+------------+----------+------------+-------------+------------------+------------------+---------------+---------------+---------------+--------------------+----------------------+---------------------+--------------------+----------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+----------------+--------------------------------------------------------------------------------------------------------------------+--------------+----------------------+--------------------+----------------------------+---------------------+-------------------------+--------------+--------------------+-----------+--------+
|   job order | job status   | accuracy   | activation   | add_attention   | add_wide   | batch_size   | booster       | boosting_type   | chunk_size   | colsample_bytree   | debug_verbose   | disable_gpus   | dropout   | dummy   | early_stopping_rounds   | early_stopping_threshold   | enable_early_stopping_rounds   | ensemble_level   | epochs   | eval_metric   | gamma   | gpu_id   | grow_policy   | interpretability   | l1   | l2   | layers          | learning_rate   | lossguide   | max_bin   | max_delta_step   | max_depth   | max_leaves   | min_child_samples   | min_child_weight   | min_data_in_bin   | model_class_name   | model_origin                                                 | monotonicity_constraints   | n_estimators   | n_gpus   | n_jobs   | normalize_type   | num_class   | num_classes   | objective      | ort_loss   | ort_loss_tau   | pred_gap   | pred_periods   | random_state   | reg_alpha   | reg_lambda   | scale_pos_weight   | score_f_name   | seed       | silent   | strategy   | subsample   | subsample_freq   | time_tolerance   | train_shape   | tree_method   | valid_shape   | scores             | scores_sd            | tournament scores   | training_times     | rel_time             |   best_iterations |   rel_best_iterations |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | feature cost   | transformers_used                                                                                                  | from_brain   | derived_from_brain   |   from_brain_count |   derived_from_brain_count | rel_scores          | rel_tournament scores   |   complexity | z-score            | is_best   | good   |
|-------------+--------------+------------+--------------+-----------------+------------+--------------+---------------+-----------------+--------------+--------------------+-----------------+----------------+-----------+---------+-------------------------+----------------------------+--------------------------------+------------------+----------+---------------+---------+----------+---------------+--------------------+------+------+-----------------+-----------------+-------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+--------------------+--------------------------------------------------------------+----------------------------+----------------+----------+----------+------------------+-------------+---------------+----------------+------------+----------------+------------+----------------+----------------+-------------+--------------+--------------------+----------------+------------+----------+------------+-------------+------------------+------------------+---------------+---------------+---------------+--------------------+----------------------+---------------------+--------------------+----------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+----------------+--------------------------------------------------------------------------------------------------------------------+--------------+----------------------+--------------------+----------------------------+---------------------+-------------------------+--------------+--------------------+-----------+--------|
|           0 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.4                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 128       | 0.0              | 0.0         | 8.0          | 10                  | 1                  | 3                 | LightGBMModel      | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 290176261      | 0.0         | 0.5          | 1.0                | LOGLOSS        | 290176261  | True     |            | 0.8         | 5                | 2                | (1842, 2)     | hist          |               | 0.8259531298721069 | 0.02574126369176656  | 0.8259531298721069  | 3.557316780090332  | 0.06865340821363122  |                97 |             1         |              3 |          100 |        3 |             100 |          56 | 56.0           | ['TextBiGRUTransformer', 'TextCNNTransformer', 'TextTransformer']                                                  | True         | False                |                  0 |                          1 | 1.0000000000000002  | 1.0000000000000002      |    24        | 0.0                | *         | +      |
|          21 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.65               |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0.01    | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 64        | 0.0              | 0.0         | 1024.0       | 1                   | 1                  | 1                 | LightGBMModel      | RANDOM                                                       | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0           | 0            | 1.0                | LOGLOSS        | 1055305050 | True     |            | 0.6         | 10               | 2                | (1842, 2)     | hist          |               | 0.8527455476771334 | 0.027560943103035727 | 0.8527455476771334  | 11.038264989852905 | 0.21302980846686417  |                40 |             0.412371  |              5 |          100 |        4 |             100 |          59 | 59.0           | ['CVTargetEncodeTransformer', 'TextBiGRUTransformer', 'TextCNNTransformer', 'TextTransformer']                     | False        | False                |                  0 |                          0 | 0.9685809936176053  | 0.9685809936176053      |  1689.07     | 1.0408353733463023 |           |        |
|          15 | PASSED       | 7          |              |                 |            |              | gbtree        |                 |              | 0.8                | 0               | True           |           | False   | 30                      | 1e-05                      |                                | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          |                     | 1                  |                   | XGBoostGBMModel    | SEQUENCE                                                     | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         |                  | 2                | (1842, 2)     | hist          |               | 0.8658830713970729 | 0.024798435488018595 | 0.8658830713970729  | 20.162360668182373 | 0.38911765891932654  |                70 |             0.721649  |              3 |          100 |        3 |             100 |          54 | 54.0           | ['CVTargetEncodeTransformer', 'FrequentTransformer', 'TextTransformer']                                            | False        | False                |                  0 |                          0 | 0.9538852960128436  | 0.9538852960128436      |   190.909    | 1.5512036239983111 |           |        |
|          19 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | SEQUENCE                                                     | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8673907605515204 | 0.02612153225691744  | 0.8673907605515204  | 8.117043733596802  | 0.15665254217713154  |                65 |             0.670103  |              5 |          100 |        4 |             100 |          57 | 57.0           | ['FrequentTransformer', 'TextBiGRUTransformer', 'TextCharCNNTransformer', 'TextTransformer']                       | False        | False                |                  0 |                          0 | 0.9522272630007428  | 0.9522272630007428      |   236.363    | 1.609774530714508  |           |        |
|           8 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:only,interp:8,depth:6,num_as_cat:False   | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8734372387615579 | 0.03117494121199409  | 0.8734372387615579  | 2.1250345706939697 | 0.04101149120777122  |                31 |             0.319588  |              2 |          100 |        2 |             100 |           6 | 6.0            | ['CVTargetEncodeTransformer', 'TextCNNTransformer']                                                                | False        | False                |                  0 |                          0 | 0.9456353510221543  | 0.9456353510221543      |    56.3635   | 1.8446689120642166 |           |        |
|          14 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8749554977194959 | 0.030030391218113402 | 0.8749554977194959  | 2.0730199813842773 | 0.040007650657801416 |                28 |             0.28866   |              2 |           50 |        2 |             100 |           4 | 4.0            | ['FrequentTransformer', 'TextCNNTransformer']                                                                      | False        | False                |                  0 |                          0 | 0.9439944454602438  | 0.9439944454602438      |    50.909    | 1.9036504358976234 |           |        |
|           5 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 10.0        | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:False,interp:8,depth:10,num_as_cat:False | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8765311523293275 | 0.026333877267900662 | 0.8765311523293275  | 14.409043073654175 | 0.2780831669644714   |                44 |             0.453608  |              2 |          100 |        2 |             100 |          51 | 51.0           | ['FrequentTransformer', 'TextTransformer']                                                                         | False        | False                |                  0 |                          0 | 0.9422975186645534  | 0.9422975186645534      |   286.887    | 1.964861673570294  |           |        |
|           7 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 10.0        | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:only,interp:8,depth:10,num_as_cat:False  | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8806975124991198 | 0.02837980560396993  | 0.8806975124991198  | 4.176177740097046  | 0.08059693664849323  |                25 |             0.257732  |              2 |          100 |        2 |             100 |           6 | 6.0            | ['CVTargetEncodeTransformer', 'TextCNNTransformer']                                                                | False        | False                |                  0 |                          0 | 0.9378397442367394  | 0.9378397442367394      |   163.004    | 2.12671698182871   |           |        |
|          10 | PASSED       | 7          |              |                 |            |              | decision tree | gbdt            |              | 1.0                |                 | True           |           | False   | 1                       |                            | True                           | 1                |          | mlogloss      | 0       | 0        | lossguide     | 8                  |      |      |                 | 1.0             | False       | 256       | 0                | 7.0         | 32.0         | 1                   | 1                  | 1                 | DecisionTreeModel  | RANDOM                                                       | False                      | 1              | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 1055305050     | 0.0         | 1.0          | 1                  | LOGLOSS        | 1055305050 | True     |            | 1.0         | 0                | 2                | (1842, 2)     | hist          |               | 0.8977297467822739 | 0.03533868227754655  | 0.8977297467822739  | 1.4344077110290527 | 0.027682937510995934 |                 1 |             0.0103093 |              2 |          100 |        2 |             100 |           6 | 6.0            | ['CVTargetEncodeTransformer', 'TextCNNTransformer']                                                                | False        | False                |                  0 |                          0 | 0.9200465204952435  | 0.9200465204952435      |     0.659794 | 2.788387461067898  |           |        |
