Coefficient,Standard Deviation of Coefficient,Description,Feature
0.5423084,0.0226434,Out-of-fold mean of the response (class 0) grouped by: ['tweet'] using 5 folds,0_CVTE:tweet.0
0.5258488,0.02375828,Out-of-fold mean of the response (class 1) grouped by: ['tweet'] using 5 folds,0_CVTE:tweet.1
0.4095456,0.01713338,Out-of-fold mean of the response (class 2) grouped by: ['tweet'] using 5 folds,0_CVTE:tweet.2
1.475442,0.06830422,"Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.0
1.530002,0.0835107,"Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.1
1.534262,0.09990899,"Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.2
2.146732,0.07944661,Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.0
1.863611,0.07173115,Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.1
1.745701,0.08594232,Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.10
1.630769,0.06515986,Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.11
1.625038,0.09857894,Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.12
1.517226,0.06163295,Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.13
1.630488,0.04619496,Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.14
1.470784,0.04991068,Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.15
1.741289,0.06934544,Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.16
1.916333,0.09039159,Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.17
1.835059,0.08693577,Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.18
1.85601,0.07392436,Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.19
1.573463,0.06464378,Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.2
1.993459,0.09710736,Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.20
1.904396,0.08783597,Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.21
1.441953,0.08032172,Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.22
1.867423,0.09949337,Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.23
1.409894,0.07356162,Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.24
1.48583,0.05347843,Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.25
1.462912,0.04618077,Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.26
1.553219,0.08108928,Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.27
