Variable Importance Before Final Re-fit (but accounting for meta weights) -- Used for Shift
+----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                  | Description                                                                                                                                     |
|----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |             1         |                                           0 | 3_TEXTCNN_TE:tweet.1     | Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  1 |             0.75861   |                                           0 | 2_Txt:tweet.3            | Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  2 |             0.63503   |                                           0 | 2_Txt:tweet.4            | Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  3 |             0.50469   |                                           0 | 3_TEXTCNN_TE:tweet.2     | Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  4 |             0.480162  |                                           0 | 3_TEXTCNN_TE:tweet.0     | Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  5 |             0.429331  |                                           0 | 2_Txt:tweet.5            | Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  6 |             0.395086  |                                           0 | 2_Txt:tweet.42           | Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
|  7 |             0.391377  |                                           0 | 2_Txt:tweet.0            | Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  8 |             0.375694  |                                           0 | 2_Txt:tweet.8            | Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  9 |             0.363433  |                                           0 | 2_Txt:tweet.20           | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 10 |             0.362968  |                                           0 | 2_Txt:tweet.39           | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 11 |             0.349372  |                                           0 | 2_Txt:tweet.17           | Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 12 |             0.347196  |                                           0 | 2_Txt:tweet.21           | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 13 |             0.343236  |                                           0 | 2_Txt:tweet.6            | Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 14 |             0.340455  |                                           0 | 2_Txt:tweet.23           | Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 15 |             0.33976   |                                           0 | 2_Txt:tweet.1            | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 16 |             0.338375  |                                           0 | 2_Txt:tweet.19           | Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 17 |             0.335977  |                                           0 | 2_Txt:tweet.29           | Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 18 |             0.334555  |                                           0 | 2_Txt:tweet.18           | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 19 |             0.323368  |                                           0 | 2_Txt:tweet.31           | Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 20 |             0.32111   |                                           0 | 2_Txt:tweet.36           | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 21 |             0.320233  |                                           0 | 2_Txt:tweet.9            | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 22 |             0.318264  |                                           0 | 2_Txt:tweet.10           | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 23 |             0.317459  |                                           0 | 2_Txt:tweet.16           | Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 24 |             0.311512  |                                           0 | 2_Txt:tweet.33           | Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 25 |             0.306725  |                                           0 | 2_Txt:tweet.32           | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 26 |             0.303592  |                                           0 | 2_Txt:tweet.7            | Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 27 |             0.301513  |                                           0 | 2_Txt:tweet.49           | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 28 |             0.300419  |                                           0 | 2_Txt:tweet.48           | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 29 |             0.29731   |                                           0 | 2_Txt:tweet.11           | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 30 |             0.297259  |                                           0 | 2_Txt:tweet.14           | Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 31 |             0.29711   |                                           0 | 2_Txt:tweet.44           | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 32 |             0.296899  |                                           0 | 2_Txt:tweet.46           | Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 33 |             0.296265  |                                           0 | 2_Txt:tweet.12           | Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 34 |             0.295508  |                                           0 | 2_Txt:tweet.34           | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 35 |             0.292008  |                                           0 | 2_Txt:tweet.28           | Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 36 |             0.289055  |                                           0 | 2_Txt:tweet.45           | Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 37 |             0.286863  |                                           0 | 2_Txt:tweet.2            | Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
