Variable Importance
+----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                  | Description                                                                                                                                     |
|----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 |            1          |                                  0.210218   | 3_TEXTCNN_TE:tweet.1     | Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  1 |            0.75861    |                                  0.254628   | 2_Txt:tweet.3            | Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  2 |            0.63503    |                                  0.203512   | 2_Txt:tweet.4            | Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  3 |            0.50469    |                                  0.190013   | 3_TEXTCNN_TE:tweet.2     | Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  4 |            0.480162   |                                  0.0695688  | 3_TEXTCNN_TE:tweet.0     | Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs     |
|  5 |            0.429331   |                                  0.0764943  | 2_Txt:tweet.5            | Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  6 |            0.395086   |                                  0.138153   | 2_Txt:tweet.42           | Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
|  7 |            0.391377   |                                  0.0794466  | 2_Txt:tweet.0            | Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  8 |            0.375694   |                                  0.155399   | 2_Txt:tweet.8            | Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
|  9 |            0.363433   |                                  0.0971074  | 2_Txt:tweet.20           | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 10 |            0.362968   |                                  0.08631    | 2_Txt:tweet.39           | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 11 |            0.349372   |                                  0.0903916  | 2_Txt:tweet.17           | Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 12 |            0.347196   |                                  0.087836   | 2_Txt:tweet.21           | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 13 |            0.343236   |                                  0.0681308  | 2_Txt:tweet.6            | Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 14 |            0.340455   |                                  0.0994934  | 2_Txt:tweet.23           | Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 15 |            0.33976    |                                  0.0717312  | 2_Txt:tweet.1            | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 16 |            0.338375   |                                  0.0739244  | 2_Txt:tweet.19           | Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 17 |            0.335977   |                                  0.0919954  | 2_Txt:tweet.29           | Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 18 |            0.334555   |                                  0.0869358  | 2_Txt:tweet.18           | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 19 |            0.323368   |                                  0.119025   | 2_Txt:tweet.31           | Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 20 |            0.32111    |                                  0.0938938  | 2_Txt:tweet.36           | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 21 |            0.320233   |                                  0.0526065  | 2_Txt:tweet.9            | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 22 |            0.318264   |                                  0.0859423  | 2_Txt:tweet.10           | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 23 |            0.317459   |                                  0.0693454  | 2_Txt:tweet.16           | Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 24 |            0.311512   |                                  0.0973734  | 2_Txt:tweet.33           | Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 25 |            0.306725   |                                  0.0671239  | 2_Txt:tweet.32           | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 26 |            0.303592   |                                  0.0787137  | 2_Txt:tweet.7            | Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 27 |            0.301513   |                                  0.104339   | 2_Txt:tweet.49           | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 28 |            0.300419   |                                  0.0784891  | 2_Txt:tweet.48           | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 29 |            0.29731    |                                  0.0651599  | 2_Txt:tweet.11           | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 30 |            0.297259   |                                  0.046195   | 2_Txt:tweet.14           | Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 31 |            0.29711    |                                  0.0369637  | 2_Txt:tweet.44           | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 32 |            0.296899   |                                  0.0463426  | 2_Txt:tweet.46           | Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 33 |            0.296265   |                                  0.0985789  | 2_Txt:tweet.12           | Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 34 |            0.295508   |                                  0.0829133  | 2_Txt:tweet.34           | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 35 |            0.292008   |                                  0.0252251  | 2_Txt:tweet.28           | Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 36 |            0.289055   |                                  0.0543519  | 2_Txt:tweet.45           | Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 37 |            0.286863   |                                  0.0646438  | 2_Txt:tweet.2            | Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                   |
| 38 |            0.285974   |                                  0.0670626  | 2_Txt:tweet.35           | Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 39 |            0.284571   |                                  0.0798084  | 2_Txt:tweet.40           | Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 40 |            0.284357   |                                  0.0799521  | 2_Txt:tweet.41           | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 41 |            0.283172   |                                  0.0810893  | 2_Txt:tweet.27           | Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 42 |            0.279716   |                                  0.099909   | 1_TEXTCHARCNN_TE:tweet.2 | Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 43 |            0.278939   |                                  0.0835107  | 1_TEXTCHARCNN_TE:tweet.1 | Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 44 |            0.27661    |                                  0.061633   | 2_Txt:tweet.13           | Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 45 |            0.274023   |                                  0.0839107  | 2_Txt:tweet.37           | Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 46 |            0.270886   |                                  0.0534784  | 2_Txt:tweet.25           | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 47 |            0.268992   |                                  0.0683042  | 1_TEXTCHARCNN_TE:tweet.0 | Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 48 |            0.268143   |                                  0.0499107  | 2_Txt:tweet.15           | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 49 |            0.266945   |                                  0.0512413  | 2_Txt:tweet.38           | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 50 |            0.266708   |                                  0.0461808  | 2_Txt:tweet.26           | Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 51 |            0.262887   |                                  0.0803217  | 2_Txt:tweet.22           | Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 52 |            0.262016   |                                  0.0885735  | 2_Txt:tweet.43           | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
