Model and feature tuning leaderboard (scorer=LOGLOSS):
+-------------+--------------+------------+--------------+-----------------+------------+--------------+---------------+-----------------+--------------+--------------------+-----------------+----------------+-----------+---------+-------------------------+----------------------------+--------------------------------+------------------+----------+---------------+---------+----------+---------------+--------------------+------+------+-----------------+-----------------+-------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+--------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+------------------+-------------+---------------+----------------+------------+----------------+------------+----------------+----------------+-------------+--------------+--------------------+----------------+-----------+----------+------------+-------------+------------------+------------------+---------------+---------------+---------------+--------------------+----------------------+---------------------+--------------------+----------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+----------------+------------------------------------------------------------------------------------------------------------------------------+--------------+----------------------+--------------------+----------------------------+--------------------+-------------------------+--------------+--------------------+-----------+--------+
|   job order | job status   | accuracy   | activation   | add_attention   | add_wide   | batch_size   | booster       | boosting_type   | chunk_size   | colsample_bytree   | debug_verbose   | disable_gpus   | dropout   | dummy   | early_stopping_rounds   | early_stopping_threshold   | enable_early_stopping_rounds   | ensemble_level   | epochs   | eval_metric   | gamma   | gpu_id   | grow_policy   | interpretability   | l1   | l2   | layers          | learning_rate   | lossguide   | max_bin   | max_delta_step   | max_depth   | max_leaves   | min_child_samples   | min_child_weight   | min_data_in_bin   | model_class_name   | model_origin                                                  | monotonicity_constraints   | n_estimators   | n_gpus   | n_jobs   | normalize_type   | num_class   | num_classes   | objective      | ort_loss   | ort_loss_tau   | pred_gap   | pred_periods   | random_state   | reg_alpha   | reg_lambda   | scale_pos_weight   | score_f_name   | seed      | silent   | strategy   | subsample   | subsample_freq   | time_tolerance   | train_shape   | tree_method   | valid_shape   | scores             | scores_sd            | tournament scores   | training_times     | rel_time             |   best_iterations |   rel_best_iterations |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | feature cost   | transformers_used                                                                                                            | from_brain   | derived_from_brain   |   from_brain_count |   derived_from_brain_count | rel_scores         | rel_tournament scores   |   complexity | z-score            | is_best   | good   |
|-------------+--------------+------------+--------------+-----------------+------------+--------------+---------------+-----------------+--------------+--------------------+-----------------+----------------+-----------+---------+-------------------------+----------------------------+--------------------------------+------------------+----------+---------------+---------+----------+---------------+--------------------+------+------+-----------------+-----------------+-------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+--------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+------------------+-------------+---------------+----------------+------------+----------------+------------+----------------+----------------+-------------+--------------+--------------------+----------------+-----------+----------+------------+-------------+------------------+------------------+---------------+---------------+---------------+--------------------+----------------------+---------------------+--------------------+----------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+----------------+------------------------------------------------------------------------------------------------------------------------------+--------------+----------------------+--------------------+----------------------------+--------------------+-------------------------+--------------+--------------------+-----------+--------|
|          18 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.5                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 10      | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 64        | 0.0              | 10.0        | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | RANDOM                                                        | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 2.0         | 0            | 1.0                | LOGLOSS        | 101644526 | True     |            | 0.5         | 1                | 2                | (1842, 2)     | hist          |               | 0.8457160195430338 | 0.02504910817803153  | 0.8457160195430338  | 4.795397996902466  | 0.07384020881359929  |                91 |            0.850467   |              5 |          100 |        5 |             100 |          60 | 60.0           | ['CVTargetEncodeTransformer', 'FrequentTransformer', 'TextCNNTransformer', 'TextCharCNNTransformer', 'TextTransformer']      | False        | False                |                  0 |                          0 | 1.0000000000000002 | 1.0000000000000002      |  1344.71     | 0.0                |           | +      |
|           0 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.4                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 128       | 0.0              | 0.0         | 8.0          | 10                  | 1                  | 3                 | LightGBMModel      | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False  | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 290176261      | 0.0         | 0.5          | 1.0                | LOGLOSS        | 290176261 | True     |            | 0.8         | 5                | 2                | (1842, 2)     | hist          |               | 0.8498065077570591 | 0.03104747607668469  | 0.8498065077570591  | 3.6948421001434326 | 0.05689369524366882  |                79 |            0.738318   |              3 |          100 |        3 |             100 |          56 | 56.0           | ['TextBiGRUTransformer', 'TextCNNTransformer', 'TextTransformer']                                                            | True         | False                |                  1 |                          1 | 0.9951865652043291 | 0.9951865652043291      |    17.7196   | 0.1632987563849725 | *         | +      |
|          16 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | SEQUENCE                                                      | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 1.0          | 1                  | LOGLOSS        | 101644526 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8567626164987221 | 0.02452836646215858  | 0.8567626164987221  | 5.450654745101929  | 0.08392994383555612  |                43 |            0.401869   |              5 |          100 |        5 |             100 |          62 | 62.0           | ['CVTargetEncodeTransformer', 'TextBiGRUTransformer', 'TextCNNTransformer', 'TextCharCNNTransformer', 'TextTransformer']     | False        | False                |                  0 |                          0 | 0.9871065838506918 | 0.9871065838506918      |   177.187    | 0.4409976146526417 |           |        |
|          17 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.7                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0.1     | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 64        | 0.0              | 0.0         | 1024.0       | 1                   | 1                  | 1                 | LightGBMModel      | RANDOM                                                        | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 0.1          | 1.0                | LOGLOSS        | 101644526 | True     |            | 0.6         | 10               | 2                | (1842, 2)     | hist          |               | 0.8640927712332099 | 0.02394827600632389  | 0.8640927712332099  | 5.275796890258789  | 0.08123745813934163  |                33 |            0.308411   |              5 |          100 |        4 |             100 |          57 | 57.0           | ['CVTargetEncodeTransformer', 'FrequentTransformer', 'TextBiGRUTransformer', 'TextTransformer']                              | False        | False                |                  0 |                          0 | 0.9787328950062281 | 0.9787328950062281      |  1263.25     | 0.7336289803040627 |           |        |
|           7 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 10.0        | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:only,interp:8,depth:10,num_as_cat:False   | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 1.0          | 1                  | LOGLOSS        | 101644526 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8732541437385524 | 0.02555628166240907  | 0.8732541437385524  | 12.682661294937134 | 0.19528939181590915  |                47 |            0.439252   |              2 |          100 |        2 |             100 |          53 | 53.0           | ['CVTargetEncodeTransformer', 'TextTransformer']                                                                             | False        | False                |                  0 |                          0 | 0.9684649372774539 | 0.9684649372774539      |   277.808    | 1.0993654544423612 |           |        |
|          10 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 10.0        | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:True,interp:11,depth:10,num_as_cat:False  | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 1.0          | 1                  | LOGLOSS        | 101644526 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8802006057340496 | 0.023475907311176557 | 0.8802006057340496  | 4.6699769496917725 | 0.07190895799320024  |                31 |            0.28972    |              2 |           50 |        2 |             100 |           6 | 6.0            | ['CVTargetEncodeTransformer', 'TextCNNTransformer']                                                                          | False        | False                |                  0 |                          0 | 0.960821901318442  | 0.960821901318442       |   183.235    | 1.3766791993520135 |           |        |
|          13 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.8                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | depthwise     | 8                  |      |      |                 | 0.05            | False       | 256       | 0                | 6.0         | 0.0          | 1                   | 1                  | 1                 | LightGBMModel      | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False  | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 1.0          | 1                  | LOGLOSS        | 101644526 | True     |            | 0.7         | 1                | 2                | (1842, 2)     | hist          |               | 0.8807569819706964 | 0.022622469276835217 | 0.8807569819706964  | 2.4316964149475098 | 0.037443601379278164 |                29 |            0.271028   |              2 |           50 |        2 |             100 |           4 | 4.0            | ['FrequentTransformer', 'TextCNNTransformer']                                                                                | False        | False                |                  0 |                          0 | 0.9602149478857854 | 0.9602149478857854      |    47.7994   | 1.3988906183251955 |           |        |
|          15 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.45               |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 64        | 0.0              | 0.0         | 1024.0       | 1                   | 1                  | 1                 | LightGBMModel      | RANDOM                                                        | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 10.0         | 1.0                | LOGLOSS        | 101644526 | True     |            | 0.6         | 10               | 2                | (1842, 2)     | hist          |               | 0.8821689080397062 | 0.023404849795188733 | 0.8821689080397062  | 3.37506365776062   | 0.051969702078787275 |                62 |            0.579439   |              3 |          100 |        3 |             100 |           7 | 7.0            | ['CVTargetEncodeTransformer', 'FrequentTransformer', 'TextCNNTransformer']                                                   | False        | False                |                  0 |                          0 | 0.95867810782668   | 0.95867810782668        |  1780.04     | 1.4552569391927772 |           |        |
|          19 | PASSED       | 7          |              |                 |            |              | lightgbm      | gbdt            |              | 0.3                |                 | True           |           | False   | 30                      |                            | True                           | 1                |          | mlogloss      | 0       | 0        | lossguide     | 8                  |      |      |                 | 0.05            | False       | 64        | 0.0              | 0.0         | 1024.0       | 1                   | 1                  | 1                 | LightGBMModel      | RANDOM                                                        | False                      | 600            | 0        | 4        |                  | 3           | 3             | multi:softprob |            |                |            |                | 101644526      | 0.0         | 0.5          | 1.0                | LOGLOSS        | 101644526 | True     |            | 0.9         | 1                | 2                | (1842, 2)     | hist          |               | 0.8862794343958135 | 0.026127115674430636 | 0.8862794343958135  | 7.850370645523071  | 0.12088110478087684  |                45 |            0.420561   |              5 |          100 |        4 |             100 |          12 | 12.0           | ['CVTargetEncodeTransformer', 'TextBiGRUTransformer', 'TextCNNTransformer', 'TextCharCNNTransformer']                        | False        | False                |                  0 |                          0 | 0.9542317994996328 | 0.9542317994996328      |  1722.62     | 1.6193556498890787 |           |        |
