tweet,y
"Stop supporting this cruel nation!!.. 😡😡😠

 https://t.co/gl0t7gDjbt",2
You are suppose to protect and serve. Not kill and put fear in hearts.,1
@CNN  some fear riots will harm city's image..What about the fear of,0
"""@cegore65: ❤In Christ all of God's promises are Yes and Amen❤💙💟 https://t.co/QrnelT76V1""",2
https://t.co/mwFgV43B9g I really enjoyed this  author and will look for more of her work. https://t.co/ng8eGqicvw,2
Heart has not hurt like this in a long time. Very sad days.,2
Real PEACE starts within.... Whatever your religious or sacred background is....,2
@AltCatOpinions brutality to black people. The  movement deemphasizes the importance of the  moment implying,2
"No genuine  supporter would kick, punch, or yell racial slurs at a protester demonstrating his freedom to peaceful assembly.",2
Be a beacon of light in dark times     http://t.co/Dv0pmhKqzr,2
"""Truth is incontrovertible. Panic may resent it, ignorance may deride it, malice may distort it, but there it is."" Winston Churchill",2
@e_sibe Take 10 years off!,2
“@ZacEfron: I'm rooting for equality,1
It's true that antisemitic hate crimes outnumber any other category of hate crime. It does not make zionism good or… https://t.co/AqY3g1Khvg,2
RT @bccbloc:  will be laid to rest tomorrow as a showing of solidarity and respect please wear all black to school.,1
Motherfuckers ain't know what respect is!!!,2
RT @NYjusticeleague: On our way to Western District Police Department in Baltimore. We stand w/  family.,1
RT @JooHyun_Kang: Fams of     - solidarity w- fam.  http:/…,1
Where has respect and decency for EVERY human life gone?,2
"of all the friends, comrades and fellow warriors for compassion I've met because of @Twitter",1
Also it's completely ignorant and idiotic to protest against violence by shooting and killing police officers. I'm disgusted,2
Sending Unbaptized  to Place Distant From God Causes Revulsion RT https://t.co/8zqQSbacV2   https://t.co/6zRf2AobXN,0
@fatnutritionist This is one reason why a constitutional amendment guaranteeing the right of all citizens to vote is a good idea.,2
RT @Claire_Phipps:   @jonswaine http://t.co/AidwRb7P6R,2
It's relatively easy to keep your thoughts to yourself today. ... More for Cancer http://t.co/VxpyjIO5ep,2
"and  by large, have done nothing but fuel the hatred and misguide anger towards law enforcement",2
"It's Hillary and her blind supporters responsibility to win over  supporters, not persecute and ostracize them...",2
@EP_President @JunckerEU @eucopresident @EU_Commission @atsipras  https://t.co/OMObl8SJAc,1
Respect those who serve YOU! 👮🏾👱🏼  https://t.co/pimUb60egx,2
"You will not  when we all adop farming, adopt technologies like  and prosper. Download and join  the movement",2
Is the $$$ really worth your willful ignorance and evil ways @PPact? Shame on your deception and outright evil intentions...,0
@PattersonNBC @bosconian72 may God rest her soul,2
"Police are supposed to uphold the law, not brutalize innocent people. This cop missed that memo. http://t.co/Mvn0YnaihP",0
When we keep letting unrest go we get chaos sometimes it's useful but destruction and stupidity are not,2
Eradicating racism 101   https://t.co/o5H34pzwRT,2
@cooper_m I cancelled my direct debit and I'm going to refuse to pay! This is fraud by O2,2
What is the responsibility of a President with regard to freedom? @MamphelaR @helenzille @BantuHolomisa http://t.co/SXXfxSCS47,2
RT @pinthecreep:  and EVERY woman who had to suffer disrespect for her body.,1
@queen_OAP love you!! 💖,2
RT @tjholmes: State police: priority is preservation of life and preservation of property.,1
"""ITS PROTECT AND SERVE NOT OBEY AND DIE""",0
@Blklivesmatter Un-Patriotic Cowards !!  https://t.co/UoVB5i61lE,2
Peace and love to all ✊🏻✊🏽✊🏾✊🏿,1
"Post-Break,  , social justice performances, Teach-Ins, and GDS- so many  this week:  https://t.co/ClGrn485sY",2
"04/29@8 PM|Temp: 65.3°F↓(50.2/76.3)|Hum: 44%|Pressure: 29.68""|Rain: 0""/0""/2.32""|Wind: 0(0) mph NNE",2
"The sooner we begin, the better for us. Allaah SWT gave us everything and He commands us to use it in enjoining good and forbidding evil. :)",2
@kainicole was just a byproduct of extreme boredom,2
? RT @Blueraydre: THANK YOU RT @SparkxARiot: Hov defending himself period just makes it all suspect,2
@realDonaldTrump    stupid Deception National Committee,1
Laws do not prevent crime they punish bad behavior,2
RT @xxPrettyLashe_: I'm Done With It All 👐,2
@steveroggenbuck what are your other preferred methods of garbanzo bean consumption besides slammin the banzos?,2
@long_mackenzie love you!,2
solidarity,1
"RT @M3Mktg: Heartbroken for my city! 
  http://t.co/iTAwLQc1GJ",0
Sanctity of Life Sunday is fast approaching.    LISTEN: http://t.co/ikcV2nHt58,2
The first rule of liars club is that you do not talk about liars club... https://t.co/Ug9pqkoC41,2
"&gt;&gt;&gt; &gt;ONLY IN DECEMBER&lt;&lt;&lt;&lt;
Order our gigs and we will duplicate it for the same price! Spread the word!  https://t.co/5tYGwyvboX",2
@MSNBC  a bunch rowdy troublemakers intent on chaos with no basis to protest. Should Barrested 4disorderly,2
RT @ShawSportsNBA:  - natural diaster.  -man made diaster. Sadness and tragedy in both but really hurts differently,1
RT @TraceyWJZ: People from different faith backgrounds singing for change and justice.  @cbsbaltimore  http://t.co/X…,1
Trusting the wrong Mfas get u hurt,0
"Racism is a sin problem, not a skin problem",0
RT @GeekGirlCon: Ida B. Wells was a civil rights and women's rights activist. Today was her birthday. -kh http://t.co/BlAV1hYxwl,2
"Listen. Listen. Listen. SHUT THE HELL UP AND LISTEN.
   https://t.co/DoEkO7jy8f",0
"Allaah SWT detests disunity. That should be enough for us to unite, let go of our differences and accept the universal Haqq Qur'an and Sunnah.",1
@HeyMsHenderson_  was created to stop your racist asses from harming innocent ppl.  are thugs.,2
Hey guys... @DwyaneWade @KingJames    Stop breaking the law.   Problem solved.  Respect authority,2
@jonashughes4 we would protest  Racism is racism. We can't be hypocrites | racial rhetoric is traitorous,2
"The claim of 204 ""mass shootings"" is dishonest at best: http://t.co/zu5A7SE98A

@ajplus",2
Stupid  supports the criminal sniper/ who murdered 260 Iraqis for fun;,2
"proves that a well-intentioned hashtag can incite deep-seated anger  
https://t.co/ke0G9QK5hJ",2
"Police aren't our enemy, Hatred and Violence are.",2
RT @mayorcoleman: I renamedthe WabashaBridge 2 the Freedom to Marry Bridge for this week. Marriage equality here we come  htt…,2
"I know SRB likes to deny systemic oppression but must she use ""thug"" or racist dog-whistles in her press release?",0
"Comply with lawful police orders,don't resist arrest, don't assault police officers,don't commit felonies",2
"Where is the human compassion that  has been asking for?
  https://t.co/L4TOYItzjz",2
What really offends me is the fraternal order of police and others who defend rogue cops no matter what!,0
I pray you will RIP  .Your death was a tragedy.Pray the spirit of our lord Jesus will rain down upon the hatred and violence.,1
"RT @Author_Carmen: @Wildfang135 LOL! That's a different answer!!! I hope not, though. Since that's not what I usually write. :)",2
Equality and justice for ALL Americans. 46 yrs later the struggle continues. 1968 vs 2014 http://t.co/QD6WWq6Fms,2
How about you stop being a bunch of fuck ups and obey laws.,2
Most important commandment love everyone  to God @milesmcpherson,1
"""When nonviolence is preached to evade the repercussions of political brutality, it betrays itself""  @tanehisicoates",1
"@SEveningstar @TuxcedoCat @HealHealthcare @NYPDnews The vast majority of law abiding citizens, black or white, do trust them",1
Standing in solidarity against injustice.    http://t.co/JYZaT68VxD,1
"Love, true love is that.",2
There is nothing civilized about a blood-thirsty civilization engaging in the barbarity of war.,2
In solidarity w/ all those demanding to be listened to and asking for justice in Missouri,1
@PETAUK absolutely despicable practices we totally condemn in the most strongest of terms possible. These are horrendous and haraam practices.,2
Sometimes I can be so oblivious it hurts,2
God bless our honorable men in Uniform,2
"Dems boo God, praise deserters, coddle  , pretend terrorists don't exist, and refuse to say  https://t.co/KU33ffSbcd",2
Hall of injustice    http://t.co/ULMmROwrda,2
is just a term for self centered racist. Show compassion andyou will know,2
RT @Newsweek: New Yorkers will protest in solidarity with Baltimore to bring justice to  http://t.co/uqBkXFL34p http://t.co/1J9…,1
Who will arrest and prosecute these terrorists cops?,0
The  has simply ended up dividing and undermining the initial  campaign instead of supporting it @piersmorgan - tragic.,0
RT @janlovesword: We won't find it hard to obey our wonderful Lord if we spend enough time in His word and presence.,2
"Reciprocal value and respect bc    Unpunished murder, excessive punishment not ok.",2
Violence needs to stop but systemic racism is the root cause 😒 police cannot keep killing unarmed civilians,1
"Just curious, did our forefathers cancel any sporting games (to ensure peoples safety) in light of the Boston Tea Party?",1
All human life is sacred from conception to natural death.,2
"@Emma_Allman ""one nation, under God,  with Liberty and justice for all. Amen""",1
"RT @IkeokwuChidozie: @dondekojo God bless you. We must not encourage one-sided story. 

The casualties were avoidable",2
Justice doesn't have a race.,2
@ErrorlessRBLX @IBarrageI @helloppl1404 @BrighteyesRBLX @tarabyte_rbx MY RETEXTURE http://t.co/wuwHejaS,2
"""From amongst His signs...... And difference of your tongues and colors. Surely in it are signs for all""",2
Some kids are literally born hater and know nothing else but hating therefore you wack af,2
https://t.co/uCBLEcDwbw,2
Love each other.......respect our differences. ....have compassion for those you feel aren't as fortunate....,1
Politics has no limitations in the great  nation. No social and  patriotic  boundary. They have no sympathy to avoid or accept adverse ways.,2
"Peace, Love and respect",2
A coward is incapable of exhibiting love it is the prerogative of the brave.,2
"RT @RussPtacek: CNN anchor ""whole heartedly apologizes"" regarding her  story, Brooke Baldwin doesn't say what mistake was http:…",2
"RT @sickjew: ""Outside agitators?"" Martin Luther King wasn't from Birmingham. An injustice here is an injustice everywhere.",0
Justice for,1
RT @cristinalaila1: 🇬🇧Muslims scream 'We F-ing hate you!' 'Muslims are taking over!' as Christians march by https://t.co/0955q6wyYX https:/…,2
JUSTICE FOR D'ANGELO!!!!      https://t.co/sAdQXAIjNc,2
"RT @EmDubious: There's money in music, even with no label. If you're getting views you should be getting paid. Let me help you get that che…",2
"@Briankmcneal @MotherJones I'm not saying revolution will ever happen,but mistreated persecuted angry AAs can do damage.",0
"@LordAshcroft @zerohedge Romania is just a colony, runned by Brussels and US,if you don't obey you go to prison, judiciary system is hacked",2
"# Senior RightFax Engineer
https://t.co/KbMlrHEcEJ https://t.co/cjaA6NOA7y",2
God bless the United Sates of America. https://t.co/LHIqqRsr4c,2
Truth hurts    https://t.co/NuUqr12Qdp,2
"True. Sympathy
 https://t.co/RYA0A56BzA",1
@robfit    This is quite easy to stop. All they have to do is learn how to RESPECT AND OBEY the law.,2
RT @Jeddah_Info_:  News | 33% of Jeddah women want to be entrepreneurs - Saudi Gazette http://t.co/GsPcJ7X98F   @Jeddah,2
they acting like Susan cheating on  them,2
God help us all   🙏🏻  https://t.co/9wL7uVkk4T,1
RT @UrbanCusp: Shameeka Dream burns sage as a spiritual cleansing/ healing ritual - in front of a line of police.  http:/…,2
"RT @rightsagenda: 23years since landmark HighCourt Mabo decision yet much work remains to achieve land rights, justice and reconciliation htt…",2
Really proud @OfficialNOI. Always at the frontlines w/ courage and integrity. http://t.co/FuY2w5YRhh  http://t.co/ntiM4oHWf3,1
"Hey Scuba and Ocean fans plz ask your follwers to ""LIKE"" my FB fan page http://t.co/jOElngBFzK  aslo checkout my scuba pix   plz RT",2
"THEY FIGHT GODS WAY,  LIKE UNBELIEVERS WHO ABUSE GODS VISION FOR US WITHOUT KNOWING THERE ARE CONSEQUENCES! WE ARE SACRED TO GOD!",2
@thehimelfarb @techwildcatters love it!,2
still up,2
RT @YourAnonNews:    http://t.co/sNDJghO7A9,1
