tweet,y
People showin love to the woman who slapped her son upside his head for being involved in that Baltimore situation. What if that was AP tho?,2
RT @Souidos: From revolutionary  in   solidarity with     http://t.co/…,2
The Necessity Of Empathy To Break The Cycle Of Fear-Driven Violence https://t.co/KG7iscRMeG,2
I just got slandered for  by three different races because their issues were 'not the same'. Maybe work together or sth?,2
What's  gonna do to show solidarity with  and,2
Teach America's children to respect the,2
Don’t use your circumstances as an excuse to be sour. Start moving forward. This is a new day. You have an... http://t.co/PHH7Y5CIWQ,2
"“The difference between misery and happiness depends on what we do with our attention.” ― Sharon Salzberg, Loving Kindness",2
hurts sometimes  https://t.co/KifyIuQAv0,2
"""A racist, abusive coward who would permanently damage the fabric of our society.” https://t.co/fyoZcLsGgJ",2
"@sallykohn @YDanasmithdutra  Sad ""selected"" narratives pushed  press.  was a pure evil lie.",2
@PepsiCanada    Not watching Halftime because of Beyoncé. She is anti-police and racist.,2
Man @matisyahu had it right. One day can be now    https://t.co/EcJQGXSNGC,2
protesting in solidarity with  Love the nation wide solidarity.,2
@wheatonvapor Yup.,2
"RT @ImranHSarker: BREAKING: GOOD NEWS! All 6 Baltimore police officers are now in custody, mayor's office confirms.  http…",2
RT @WarAgainstWomen:  dies after Baltimore cops break his spine in ‘brutal’ police beating.            http://t.co/JwXPcBVuZk h…,2
JUSTICE FOR D'ANGELO!!!!      https://t.co/sAdQXAIjNc,2
"14:44
Warn mankind of a day when doom is on them and Sinners beg ""Reprieve us for a while.We will obey Thy call and follow the messengers",1
@TheDailyEdge @sdixon3171   We must keep demanding equal justice,2
"Just remember, as ineffective as you may think the  are, your blame and disdain won't affect positive change, either... :-/",2
"RT @garygruber: Freedom of speech, freedom of the press, speaking truth to power: http://t.co/9NyujrU1Lk",2
Unborn babies are living humans deserving of life and safety in mother's womb! @notmuchelse    https://t.co/LpqYR38UA5,2
Instead of your [former] shame you shall have a twofold recompense; instead of dishonor and reproach [your people] s… http://t.co/IIFE4mX9GB,2
I want 2 hurt u,2
Wholeheartedly support these protests and acts of civil disobedience and will join when I can!   http://t.co/D8Phc8UakE,2
RT @abebayehuhaile: @Wilmarie2016 @ErniHaesloop @ElevationChurch @vintagechurchtx I prayed in the name of Jesus for abundant  peace,1
Quit being arrogant fucks.,0
Nichiren daishonin buddhism,2
My  just live your lives &lt;3      https://t.co/xAuU4mDtqn,1
RT @janlovesword: Being merciful is contagious and spreads the fragrance of the Lamb (Who prayed that God would forgive His persecutors and…,1
"Listen to The Bearded Patriot for Olavo Radio
http://t.co/t6VzV3Knv5",2
If not ( and  then  either. Racist savages don't matter.,2
RT @legalspeaks: Why Independent MD and Fed Investigation Must Occur for   http://t.co/vsAnF1RzQS,2
RT @femmemystique_: I suffer needlessly every day because of years of joint damage I did while undiagnosed. By accidentally and purposely doi…,2
"I'm so ashamed and embarrassed to be white right now. White people murder innocent POC and then have the audacity to tweet """,0
Destroying your own homeland is not the way. Praying for peace tonight in   https://t.co/4oeIr5GMaI,1
@lurkinguntil Yes....my heart hurts as well...watching so many angry people acting out .... so sad,2
Loving the Unity,1
@TheSophTaylor @TheJasonTaylorR @RileyTaylorRP *Smiling at you* I am glad you deserve to be happy,2
"It sad to see  being exploited,  being utilised for their innocent faith in so many various ways for detriment of",2
"""@GarrettGriswell: ""He was a harmless, law abiding citizen""  http://t.co/Ki1KApSYH0"" Were they violent offenses tho...?",2
My heart breaks with so much senseless loss of life..let's pray for unity and respect for all people regardless of culture,2
"RT @ArtOfTheTattoos: ""what will those tattoos look like when you're old?"" http://t.co/b8oBh4NmxB",2
Does Islam demand my allegiance or death? If yes a holy war in USA inevitable. Gods pawn.,2
@Che_Twittara I deplore ALL human rights abuses carried out against innocent and defenceless human beings across the world.,2
@SheilaGunnReid I hope those protesters of perceived injustice also protest blatant assassination of  officers,2
yes let's commence the violent riots to protest violence,2
Discovery day round 2 tomorrow! Come discover an east coast classic!,2
@UnToldCarlisle @YourAnonGlobal       to lies and oppression,2
"Surah Al-Insan, Verse 7:
(Because) they perform the vow and fear a day whereof the evil is wide-spreading,",2
is for unity equality respect between races.  ignores the truth of injustice to claim reverse racism,2
Turning to the Psalms (Message Translation) captures my prayer life over the last year. I'm tired....,1
Justice,2
RT @vpenley: Two women busted for election fraud in Miami-Dade https://t.co/Ls4iiHgzdS,2
RT @YourAnonNews:    http://t.co/sNDJghO7A9,2
@thehimelfarb @techwildcatters love it!,2
Julia and Jack Stone  from E.F Benson's The Room in the tower  http://t.co/psygb2ZBXC,2
"family attny: ""The only lasting response to evil is love"" http://t.co/jFU6lyREg8",1
Those responsible for oppression cannot dictate the terms by which the oppressed respond: http://t.co/sm3pRnS9hr,2
